[LOG] System::create                           : Header version = 2.02.24. Current version = 2.02.24.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20224 (146338), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000023982540ED8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] AsyncThread::add                         : add sound to async queue : soundi = 00000237FE101DF8, queue head = 00000238C8182328, queue count = 0
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 00000237FE101DF8
[LOG] AsyncThread::add                         : add sound to async queue : soundi = 00000237FE101738, queue head = 00000238C8182328, queue count = 0
[LOG] AsyncThread::add                         :     add sound to async queue : soundi = 00000237FE101588, queue head = 00000238C8182328, queue count = 1
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 00000237FE101DF8
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 00000237FE101738
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 00000237FE101738
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 00000237FE101588
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 00000237FE101588
[LOG] SoundI::release                          :  (000002380B728AA8)
[LOG] SoundI::release                          :     FX_003_LM_MapDenial_SpikeCollision_01 (00000239829CB558)
[LOG] SoundI::release                          :  (000002380B727518)
[LOG] SoundI::release                          :     FX_003_LM_MapDenial_SpikeCollision_02 (00000239829CB218)
[LOG] SoundI::release                          :  (000002380B728098)
[LOG] SoundI::release                          :     FX_003_LM_MapDenial_SpikeCollision_03 (00000239829CB6F8)
[LOG] SoundI::release                          :  (00000238C7F3B498)
[LOG] SoundI::release                          :     FX_101_PL_Grim_Scyche_Swing_01 (000002380C868328)
[LOG] SoundI::release                          :  (00000238C7F3B1B8)
[LOG] SoundI::release                          :     FX_101_PL_Grim_Scyche_Swing_02 (000002380C865DC8)
[LOG] SoundI::release                          :  (00000238C7F3B608)
[LOG] SoundI::release                          :     FX_101_PL_Grim_Scyche_Swing_03 (000002380C868CE8)
[LOG] SoundI::release                          :  (00000239466A2F58)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Snow_01 (0000023975169568)
[LOG] SoundI::release                          :  (00000239466A2828)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Snow_02 (0000023975168BA8)
[LOG] SoundI::release                          :  (000002368D39D468)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Snow_03 (0000023665C13B68)
[LOG] SoundI::release                          :  (000002396BDBD558)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Snow_04 (000002396D8603A8)
[LOG] SoundI::release                          :  (000002368D39D8B8)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Snow_05 (00000239468D2A58)
[LOG] SoundI::release                          :  (000002393E9C32E8)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Snow_06 (000002380015D978)
[LOG] SoundI::release                          :  (000002380B9E7888)
